iter	Logloss
0	0.6724271618
1	0.6519918014
2	0.6326636181
3	0.6149629974
4	0.5994878942
5	0.5836914657
6	0.5691675567
7	0.5549526551
8	0.5420724123
9	0.5299932695
10	0.518816177
11	0.5086485473
12	0.4988520075
13	0.4891092542
14	0.4800275016
15	0.4718931287
16	0.4637303919
17	0.4567282376
18	0.4497924072
19	0.443182396
20	0.437405814
21	0.4318075773
22	0.4262688721
23	0.4211903468
24	0.416623198
25	0.4123004322
26	0.4080810116
27	0.4037440625
28	0.4001033427
29	0.3965637322
30	0.3934437689
31	0.3900417302
32	0.3867768137
33	0.3837917242
34	0.3808169985
35	0.3780688473
36	0.3756764679
37	0.3733209886
38	0.3710878602
39	0.3690603252
40	0.3669113849
41	0.3651211249
42	0.3633769265
43	0.3615633119
44	0.3600397389
45	0.3584925698
46	0.3571533657
47	0.3557875863
48	0.3543062404
49	0.3531774271
50	0.3518937682
51	0.3506934718
52	0.3494593324
53	0.3483307576
54	0.347263666
55	0.3463058333
56	0.3453800901
57	0.3444983091
58	0.3438743789
59	0.343069104
60	0.342210679
61	0.3414826068
62	0.3407961263
63	0.3400505249
64	0.3393212745
65	0.3388285948
66	0.3381934447
67	0.3376426506
68	0.337126003
69	0.3364879004
70	0.3359728354
71	0.3354008511
72	0.3350436052
73	0.3346056837
74	0.3340683113
75	0.3336973807
76	0.3333502075
77	0.3329847046
78	0.3326219872
79	0.3322575357
80	0.3319202988
81	0.3315041583
82	0.3312950599
83	0.331035415
84	0.3307647701
85	0.330390655
86	0.3300686635
87	0.3297295641
88	0.3295126807
89	0.3292063137
90	0.3290334936
91	0.3288542789
92	0.3286351965
93	0.3283530609
94	0.3281241486
95	0.3279600073
96	0.3277678164
97	0.327558016
98	0.3273158839
99	0.3271595345
100	0.3269936537
101	0.3268056727
102	0.3266597854
103	0.3264755548
104	0.326242665
105	0.3260707008
106	0.3259012067
107	0.3257773691
108	0.3256566003
109	0.3255376891
110	0.3254538174
111	0.3253077507
112	0.3251268008
113	0.3250143551
114	0.3249263707
115	0.3247986912
116	0.3246307591
117	0.3245385437
118	0.3244360668
119	0.324296386
120	0.3241573408
121	0.3240578403
122	0.3240059726
123	0.3238333844
124	0.3237069557
125	0.3236250429
126	0.3235506759
127	0.323483376
128	0.3233630729
129	0.3232856867
130	0.3231616441
131	0.3230559405
132	0.3229566746
133	0.3228564691
134	0.322788446
135	0.3227200692
136	0.3226472781
137	0.3225391714
138	0.3224532823
139	0.3223574674
140	0.3222854264
141	0.3222169619
142	0.3221476776
143	0.3220819658
144	0.322027472
145	0.3219709543
146	0.3218961351
147	0.3218364919
148	0.321745728
149	0.3216809888
150	0.3216282482
151	0.3215729211
152	0.3215178229
153	0.321468667
154	0.3213997585
155	0.3213253029
156	0.3212728297
157	0.3212262578
158	0.3211607723
159	0.3211114173
160	0.3210395414
161	0.320956089
162	0.3208807951
163	0.3208327547
164	0.3207733991
165	0.3207357557
166	0.3206892011
167	0.3206366689
168	0.320603856
169	0.3205589475
170	0.3205105087
171	0.3204614246
172	0.3204214829
173	0.3203584987
174	0.3202980719
175	0.3202385674
176	0.3201937594
177	0.3201505173
178	0.3200902078
179	0.320049535
180	0.3200055803
181	0.3199674661
182	0.319927023
183	0.3198656753
184	0.3198260335
185	0.3197921789
186	0.3197537384
187	0.3196991367
188	0.3196606109
189	0.3196059663
190	0.3195689517
191	0.3195297174
192	0.3194995639
193	0.3194509184
194	0.3194173307
195	0.3193829381
196	0.3193498273
197	0.3193378038
198	0.3193072809
199	0.3192601854
200	0.3192265674
201	0.3191963427
202	0.3191648124
203	0.3191281478
204	0.3190798755
205	0.31903061
206	0.3189950771
207	0.318960765
208	0.3189272325
209	0.3188775304
210	0.3188561233
211	0.3188063896
212	0.318779812
213	0.3187442251
214	0.3187159048
215	0.3187110081
216	0.3186721198
217	0.3186334646
218	0.3185957876
219	0.3185677279
220	0.3185315073
221	0.3185031656
222	0.3184853043
223	0.3184515356
224	0.3184237397
225	0.3183897377
226	0.3183586679
227	0.3183413704
228	0.318306147
229	0.3182761419
230	0.3182418521
231	0.3182166449
232	0.3181933967
233	0.318177805
234	0.3181525706
235	0.3181120336
236	0.3180813886
237	0.3180566274
238	0.3180288761
239	0.3179989527
240	0.3179682355
241	0.317937624
242	0.3179075239
243	0.3178842119
244	0.3178612153
245	0.3178273614
246	0.3177953125
247	0.3177672699
248	0.3177449855
249	0.317722501
250	0.3177096558
251	0.3176504502
252	0.3176119826
253	0.3175698525
254	0.3175349352
255	0.3175102344
256	0.3174733232
257	0.317437917
258	0.3174125742
259	0.3173745039
260	0.3173547124
261	0.3173015971
262	0.3172932667
263	0.3172575103
264	0.3172369531
265	0.3172105556
266	0.317187636
267	0.3171354
268	0.3171169872
269	0.3170935101
270	0.3170525975
271	0.3170287146
272	0.3169929526
273	0.3169680137
274	0.3169589315
275	0.3169336306
276	0.316890789
277	0.3168778562
278	0.3168510415
279	0.3168218376
280	0.3167885028
281	0.316768605
282	0.3167494844
283	0.316725895
284	0.3167055131
285	0.3166645748
286	0.3166428399
287	0.3166242787
288	0.3165984774
289	0.3165761111
290	0.316539091
291	0.3165225646
292	0.3164970523
293	0.3164952947
294	0.3164637568
295	0.3164358884
296	0.3164215855
297	0.3163997713
298	0.3163720231
299	0.3163486542
300	0.316337337
301	0.3163125391
302	0.3162813121
303	0.3162642076
304	0.3162362759
305	0.3162269381
306	0.3161962252
307	0.3161772417
308	0.3161516742
309	0.3161288208
310	0.3160991897
311	0.3160608343
312	0.3160482062
313	0.316020342
314	0.3159848846
315	0.3159567475
316	0.3159329162
317	0.3159055015
318	0.315878524
319	0.3158456493
320	0.3158226651
321	0.315798687
322	0.3157764514
323	0.3157542601
324	0.3157223046
325	0.3157065685
326	0.3156887927
327	0.3156657119
328	0.3156467375
329	0.3156369007
330	0.3156103952
331	0.3155984109
332	0.3155825833
333	0.3155556009
334	0.3155438258
335	0.3155240645
336	0.3155084399
337	0.3154759797
338	0.3154557715
339	0.3154292332
340	0.3154157927
341	0.3153842897
342	0.3153507238
343	0.3153304632
344	0.3153163138
345	0.3152888085
346	0.3152645628
347	0.3152391409
348	0.3152217137
349	0.3152032772
350	0.3151736239
351	0.3151535217
352	0.3151330515
353	0.3151063239
354	0.3150969233
355	0.315074286
356	0.3150472174
357	0.3150117647
358	0.3149981621
359	0.3149713495
360	0.3149583134
361	0.314947211
362	0.3149245997
363	0.3149133064
364	0.3148971409
365	0.3148716539
366	0.3148623155
367	0.3148572261
368	0.3148388757
369	0.3148096226
370	0.3147834797
371	0.3147718515
372	0.314758025
373	0.3147428973
374	0.3147163367
375	0.3146981301
376	0.3146726953
377	0.3146500519
378	0.3146335376
379	0.314608848
380	0.3145861635
381	0.3145831365
382	0.3145635686
383	0.3145405152
384	0.3145197738
385	0.3145060267
386	0.3144897866
387	0.3144715393
388	0.3144553974
389	0.3144174904
390	0.3143949837
391	0.3143810584
392	0.3143635881
393	0.3143430992
394	0.314325242
395	0.3142967526
396	0.314287599
397	0.3142525461
398	0.3142355829
399	0.3142348
400	0.3142065954
401	0.3141936933
402	0.3141816812
403	0.3141614552
404	0.3141538706
405	0.3141330353
406	0.3141124486
407	0.3141015253
408	0.3140639617
409	0.3140346808
410	0.3140208501
411	0.3140058315
412	0.3139875467
413	0.3139662986
414	0.3139543245
415	0.3139263631
416	0.3139098486
417	0.3138906336
418	0.3138790292
419	0.3138719124
420	0.3138692886
421	0.3138692881
422	0.3138563998
423	0.3138371164
424	0.313823951
425	0.3138063377
426	0.3137868462
427	0.3137700851
428	0.3137486828
429	0.3137391311
430	0.3137265359
431	0.3137109912
432	0.3136954265
433	0.313666033
434	0.3136392179
435	0.3136214992
436	0.3136138973
437	0.3135950427
438	0.3135787318
439	0.3135624131
440	0.3135498087
441	0.3135481428
442	0.3135367464
443	0.3135177862
444	0.313502601
445	0.3134896847
446	0.3134776955
447	0.3134613226
448	0.3134418282
449	0.3134314549
450	0.3134240715
451	0.313403367
452	0.3133947301
453	0.3133784637
454	0.3133687834
455	0.3133472655
456	0.313333125
457	0.3133174279
458	0.3132989045
459	0.3132708309
460	0.313262288
461	0.3132541983
